feature,source_section,requirement_text,verification_objective,test_idea,coverage,priority
VALID/READY handshake,A2.3,The rules are: • The Manager must not wait for the Subordinate to assert ARREADY before asserting ARVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A2.3,• The Subordinate must wait for both ARVALID and ARREADY to be asserted before it asserts RVALID to indicate that valid data is available.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A2.3,• The Subordinate must not wait for the Manager to assert RREADY before asserting RVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
Credited transport,A2.4,• VALID must not be asserted when the channel transmitter has zero credits.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A2.4,There must not be combinatorial paths between credit signals and other signals on a channel in either direction.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
General AXI protocol rule,A5.5,• Transfers using different Resource Planes must not block one another between transmitter and receiver.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Credited transport,A5.5,• The receiver must be able to give at least one dedicated credit per RP supported.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
General AXI protocol rule,A5.5,• The AW and W transfers in the same transaction must use the same RP number.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A5.5,This means: • A Manager must not issue a request transfer that has the same ID as an outstanding transaction on the same channel but a different RP.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A5.5,If the AXI_Transport property is Ready: Num_RP_AWW and Num_RP_AR must be 1.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Credited transport,A5.5,"The following rules apply: • If the AXI_Transport property is Ready: Shared_Credits_AW, Shared_Credits_W and Shared_Credits_AR must be False.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A5.5,• If Num_RP_AWW is 1: Shared_Credits_AW and Shared_Credits_W must be False.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A5.5,• If Num_RP_AR is 1: Shared_Credits_AR must be False.,Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
Credited transport,A5.5,"• A receiver must give independence guarantees between RPs, whether the transmitter is using a shared or dedicated credit.",Verify transfers obey credit availability.,"Run transactions with zero, one, and multiple credits and check VALID behaviour.","Zero credits, credit available, credit consumed",Medium
General AXI protocol rule,A2.5,"• VALID signals must be pipelined by the same number of cycles as the payload signals of that channel including RP and SHAREDCRD signals, if present.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A2.5,• PENDING signals must retain the relationship that they are HIGH in the cycle before VALID is HIGH.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A2.6,AXI transactions and transfers A2.6 AXI transactions and transfers The AXI protocol requires the following relationships to be maintained: • A write response must always follow the last write transfer in a write transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A2.6,• Read data and responses must always follow the read request.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A2.6,"• When a Manager issues a write request, it must be able to provide all write data for that transaction, without dependency on other transactions from that Manager.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A2.6,"• When a Manager has issued a write request and all write data, it must be able to accept all responses for that transaction, without dependency on other transactions from that Manager.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A2.6,"• When a Manager has issued a read request, it must be able to accept all read data for that transaction, without dependency on other transactions from that Manager.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A2.6,• A Subordinate must not block acceptance of data-less write requests due to transactions with leading write data.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A2.6,"When the interconnect is required to determine the destination address space or Subordinate space, it must realign the request and write data.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A2.6,This realignment is required to assure that the write data is signaled as being valid only to the Subordinate for which it is destined.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A3.1,"If the transaction includes more than one data transfer, the Subordinate must calculate the addresses of subsequent transfers.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,A transaction must not cross a 4KB address boundary.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,It also limits the number of address increments that a Subordinate must support.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A3.1,"For read transactions, Size indicates how many data bytes must be valid in each read data transfer.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A3.1,"Size must not exceed the data width of an interface, as determined by the DATA_WIDTH property.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,An attached Subordinate must have its Ax SIZE input tied according to the data width.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A3.1,A Manager must issue the number of write data transfers according to Length.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A3.1,A Subordinate must issue the number of read data transfers according to Length.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A3.1,• A transaction must not cross a 4KB address boundary.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,"In this case, the Manager must complete the remaining transfers in the transaction.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A3.1,"In a read transaction, the Manager can discard read data, but it must complete all transfers in the transaction.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A3.1,The following restrictions apply: • The start address must be aligned to the size of each transfer.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,"• The Length of the burst must be 2, 4, 8, or 16 transfers.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A3.1,Transaction request • The FIXED burst type can only be used with Write No Snoop or Read No Snoop Opcodes.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A3.1,Components with different physical address space sizes must communicate as follows: • The component with the smaller physical address space must be positioned within an aligned window in the larger physical address space.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,• An outgoing transaction must have the required additional higher-order bits added to the transaction address.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,• An incoming transaction must be examined so that: – A transaction that is within the address window has the higher-order address bits removed and is passed through.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.1,The equations use the following additional variables: • Start_Addr: The start address that is issued by the Manager.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A3.1,"Transaction request A3.1.7 Pseudocode description of the transfers // Data Transfer() Data Transfer(Start_Addr, Size, Length, Data_Bytes, Burst, Is Write) // Is Write is TRUE for a write, and FALSE for a read addr = Start_Addr; // Variable for current address Aligned_Addr = (INT(addr/Size) * Size); aligned = (Aligned_Addr == addr); // Check whether addr aligned to Size Container_Size = Size * Length; if Burst == WRAP then Lower_Wrap_Boundary = (INT(addr/Container_Size) * Container_Size); // addr must be aligned for a wrapping burst Upper_Wrap_Boundary = Lower_Wrap_Boundary + Container_Size; for n = 1 to Length Lower_Byte_Lane = addr - (INT(addr/Data_Bytes) * Data_Bytes); if aligned then Upper_Byte_Lane = Lower_Byte_Lane + Size - 1 else Upper_Byte_Lane = Aligned_Addr + Size - 1 - (INT(addr/Data_Bytes) * Data_Bytes); // Perform data transfer if Is Write then dwrite(addr, Lower_Byte_Lane, Upper_Byte_Lane) else dread(addr, Lower_Byte_Lane, Upper_Byte_Lane); // Increment address if necessary if Burst != FIXED then if aligned then addr = addr + Size; if Burst == WRAP then if addr >= Upper_Wrap_Boundary then addr = Lower_Wrap_Boundary; else addr = Aligned_Addr + Size; aligned = TRUE; // All transfers after the first are aligned return; ARM IHI 0022 Issue L Copyright © 2003-2025 Arm Limited or its affiliates.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A3.2,The following rules apply: • The Manager must assert the WLAST signal while it is driving the final write transfer in the transaction.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A3.2,• Outside of the transaction container all write strobes must be LOW.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A3.2,"The following rules apply: • Even if a Subordinate has only one source of read data, it must assert the RVALID signal only in response to a request.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A3.2,• The Subordinate must assert the RLAST signal when it is driving the final read transfer in the transaction.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A3.2,Components that have only one transfer width must have their byte lanes connected to the appropriate byte lanes of the data channel.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A3.3,Must be 3 if: Untranslated_Transactions = v2 OR Untranslated_Transactions = v3 OR Write Deferrable_Transaction = True BRESP is an optional signal.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A3.3,"If BCOMP is present, it must be asserted for one response transfer of every transaction on the write channels.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A3.3,The response value is not required to be the same for every read data transfer in a transaction.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A3.3,"For some responses, the data in that transfer is not required to be valid.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.3,Must be valid when RVALID is asserted.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A3.3,"For responses where data is not required to be valid, the Manager might still sample the RDATA value so the Subordinate should not rely on the response to hide sensitive data.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A3.3,"For transactions with multiple read data transfers, Busy must be valid but can take a different value for every transfer.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A3.3,"For transactions with multiple write responses, Busy must be valid in the response with BCOMP asserted.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A3.3,"For Atomic transactions with write and read responses, BBUSY and RBUSY are expected, but not required to have the same value.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.2,"A4.2.1 Bufferable, Ax CACHE[0] For write transactions: • If the Bufferable bit is deasserted and AWCACHE[3:2] are both deasserted, the write response indicates that the data has reached its final destination.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.2,"• If the Bufferable bit is asserted, the write response can be sent from an intermediate point, when the observability requirements have been met.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.2,"Memory attributes For read transactions where ARCACHE[3:2] are deasserted (Non-cacheable) and ARCACHE[1] is asserted (Modifiable): • If the Bufferable bit is deasserted, the read data must be obtained from the final destination.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
General AXI protocol rule,A4.2,"Table A4.3: Parameters fixed as Non-modifiable Parameter Signals Address Ax ADDR, and therefore Ax REGION Size Ax SIZE Length Ax LEN Burst type Ax BURST Protection attributes Ax PROT, Ax NSE, Ax PAS, Ax INST, Ax PRIV The Ax CACHE attribute can only be modified to convert a transaction from being Bufferable to Non-bufferable.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.2,"For example, when downsizing to a data width narrower than required by Size, the transaction must be modified.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.2,"• In each generated transaction, the following attributes can be modified: – Address, Ax ADDR – Size, Ax SIZE – Length, Ax LEN – Burst type, Ax BURST The following must not be changed: • Exclusive access indicator: Ax LOCK • The access and address space attributes: Ax PROT, Ax INST, Ax PRIV, Ax NSE, Ax PAS, Ax MMUPASUNKNOWN.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.2,Any modification to the memory attributes must be consistent for all transactions to the same address range.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.2,"A4.2.3 Allocate and Other Allocate, Ax CACHE[2], and Ax CACHE[3] If the Allocate bit is asserted: • The data might have been previously allocated, so the line must be looked up in a cache.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.2,"If the Other Allocate bit is asserted: • The data might have been previously allocated, so the line must be looked up in a cache.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A4.3,Device Non-bufferable The required behavior for Device Non-bufferable memory is: • The write response must be obtained from the final destination.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,• Read data must be obtained from the final destination.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A4.3,• Read data must not be prefetched.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,• Write transactions must not be merged.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.3,• Write transactions must be made visible at the final destination in a timely manner.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,• Read data must be obtained from the final destination.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Read transaction,A4.3,• Read data must not be prefetched.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,• Write transactions must not be merged.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.3,Normal Non-cacheable Non-bufferable The required behavior for the Normal Non-cacheable Non-bufferable memory type is: • The write response must be obtained from the final destination.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,• Read data must be obtained from the final destination.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,"• Write transactions must be made visible at the final destination in a timely manner, as defined in the glossary.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,• Read data must be obtained from either: – The final destination.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,• If read data is obtained from a write transaction: – It must be obtained from the most recent version of the write.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,– The data must not be cached to service a later read.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,Read data that is returned in this manner does not indicate that the write transaction is visible at the final destination.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.3,"• Write transactions must be made visible at the final destination in a timely manner, as defined in the glossary.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.3,• Write transactions are not required to be made visible at the final destination.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A4.3,"The rules to be applied are: – If the address region is Non-cacheable, all Managers must use transactions with both Ax CACHE[3:2] deasserted.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.3,"– If the address region is Cacheable, all Managers must use transactions with either of Ax CACHE[3:2] asserted.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A4.3,"For read transactions, the required behavior is as follows: • For Device Bufferable memory, read data must be obtained from the final destination.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.3,"• For Normal Non-cacheable Bufferable memory, read data must be obtained either from the final destination or from a write transaction that is progressing to its final destination.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.3,"In addition to ensuring that write transactions progress towards their final destination in a timely manner, intermediate buffers must behave as follows: • An intermediate buffer that can respond to a transaction must ensure that over time, any read transaction to Normal Non-cacheable Bufferable propagates towards its destination.",Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Read transaction,A4.3,"This propagation means that when forwarding a read transaction, the attempted forwarding must not continue indefinitely, and any data that is used for forwarding must not persist indefinitely.",Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Reset behaviour,A4.3,"However, in such a mechanism, the act of reading the data must not reset the data timeout period.",Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Write transaction,A4.3,• An intermediate buffer that can hold and merge write transactions must ensure that transactions do not remain in its buffer indefinitely.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Reset behaviour,A4.3,"For example, merging write transactions must not reset the mechanism that determines when a write is drained towards its final destination.",Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Write transaction,A4.3,A write transaction that is marked as Device Bufferable is required to reach its final destination in a timely manner.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A4.3,"Therefore, the response to the Device Non-bufferable transaction indicates that all the transactions are visible to all Managers.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.4,A software protocol error for an access in one 4KB memory region must not cause data corruption in a different 4KB memory region.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.5,Table A4.7 shows the physical address spaces with signal encodings and property that must be True to enable a Manager to use that encoding.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.6,Table A4.14: MECID constraints Physical address space MECID constraints Secure Must be zero Non-secure Must be zero Root Must be zero Realm Can take any valuea System Agent Can take any valuea Non-Secure Protected Can take any valuea a Depends on the MEC_Support and MECID_Width properties.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.6,Memory Encryption Contexts • Make Invalid • Clean Shared • Clean Shared Persist • Invalidate Hint • Stash Translation • Unstash Translation MECID is inapplicable and must be 0 for the following request Opcodes: • DVM Complete Components that propagate transactions and support MECID on their Subordinate and Manager interfaces must preserve the MECID on requests where it is applicable.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Write transaction,A4.6,A cache that stores data which has an associated MECID must also store the MECID and provide it with the data during a write-back.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A4.6,"A4.6.3 MEC and GDI When using MEC and GDI, MECID must be valid for all accesses to Non-secure Protected or System Agent physical address spaces.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.6,MECID mismatches must not result in a loss of confidentiality of data between Memory Encryption Contexts.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.6,A cache must enforce the following rules for the System Agent and Non-secure Protected physical address spaces when there is a difference between the incoming request MECID and the previously cached MECID value.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
Read transaction,A4.6,• For a read transaction: – Any returned data must be masked to an IMPLEMENTATION SPECIFIC value.,Verify read-channel protocol requirements.,Run directed read transfers and check AR/R channel ordering.,"ARVALID, ARREADY, RVALID, RREADY",Medium
Write transaction,A4.6,• For a partial write transaction: – Cached data must be masked to an IMPLEMENTATION SPECIFIC value.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.6,– The cached MECID for the location must be updated to the MECID of the incoming write.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
Write transaction,A4.6,– The cached MECID must be updated to the MECID of the incoming write.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
General AXI protocol rule,A4.7,The region identifier must remain constant within any 4K-byte address space.,Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
General AXI protocol rule,A4.7,"If a Subordinate only has a single physical interface in the system address map, the interconnect must use the default Ax REGION values.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
