req_id,page,section,category,requirement
AXI_REQ_0037,41,A2.6,Functional,"When the interconnect is required to determine the destination address space or Subordinate space, it must realign"
AXI_REQ_0038,41,A2.6,Handshake/Timing,the request and write data. This realignment is required to assure that the write data is signaled as being valid only
AXI_REQ_0039,43,A3.1,Transaction,Subordinate must calculate the addresses of subsequent transfers.
AXI_REQ_0040,43,A3.1,Transaction,A transaction must not cross a 4KB address boundary. This prevents a transaction from crossing a boundary
AXI_REQ_0041,43,A3.1,Functional,between two Subordinates. It also limits the number of address increments that a Subordinate must support.
AXI_REQ_0042,43,A3.1,Handshake/Timing,"For read transactions, Size indicates how many data bytes must be valid in each read data transfer."
AXI_REQ_0043,43,A3.1,Functional,"Size must not exceed the data width of an interface, as determined by the DATA_WIDTH property."
AXI_REQ_0044,44,A3.1,Functional,attached Subordinate must have its AxSIZE input tied according to the data width.
AXI_REQ_0045,44,A3.1,Transaction,A Manager must issue the number of write data transfers according to Length.
AXI_REQ_0046,44,A3.1,Transaction,A Subordinate must issue the number of read data transfers according to Length.
AXI_REQ_0047,44,A3.1,Functional,Subordinate must have its AxLEN input tied to 0x00.
AXI_REQ_0048,44,A3.1,Transaction,• A transaction must not cross a 4KB address boundary.
AXI_REQ_0049,44,A3.1,Transaction,"must complete the remaining transfers in the transaction. In a read transaction, the Manager can discard read data,"
AXI_REQ_0050,44,A3.1,Transaction,but it must complete all transfers in the transaction.
AXI_REQ_0051,45,A3.1,Transaction,burst splitting if it knows that transactions will not cross the stripe boundary.
AXI_REQ_0052,46,A3.1,Transaction,An attached Subordinate must have its AxBURST input tied to 0b01.
AXI_REQ_0053,47,A3.1,Transaction,• The start address must be aligned to the size of each transfer.
AXI_REQ_0054,47,A3.1,Transaction,"• The Length of the burst must be 2, 4, 8, or 16 transfers."
AXI_REQ_0055,47,A3.1,Cache/Stash,"When Burst type is WRAP, the transaction must be cache"
AXI_REQ_0056,49,A3.1,Functional,Components with different physical address space sizes must communicate as follows:
AXI_REQ_0057,49,A3.1,Functional,• The component with the smaller physical address space must be positioned within an aligned window in the
AXI_REQ_0058,49,A3.1,Transaction,• An outgoing transaction must have the required additional higher-order bits added to the transaction address.
AXI_REQ_0059,49,A3.1,Transaction,• An incoming transaction must be examined so that:
AXI_REQ_0060,51,A3.1,Transaction,// addr must be aligned for a wrapping burst
AXI_REQ_0061,53,A3.2,Transaction,• The Manager must assert the WLAST signal while it is driving the final write transfer in the transaction.
AXI_REQ_0062,54,A3.2,Transaction,• Outside of the transaction container all write strobes must be LOW.
AXI_REQ_0063,54,A3.2,Functional,interface. An attached Subordinate must have its WSTRB input tied HIGH.
AXI_REQ_0064,55,A3.2,Handshake/Timing,"• Even if a Subordinate has only one source of read data, it must assert the RVALID signal only in response to"
AXI_REQ_0065,55,A3.2,Transaction,• The Subordinate must assert the RLAST signal when it is driving the final read transfer in the transaction.
AXI_REQ_0066,56,A3.2,Transaction,Components that have only one transfer width must have their byte lanes connected to the appropriate byte lanes
AXI_REQ_0067,58,A3.2,Functional,The information on the low-order address lines must be consistent with the information on the byte lane strobes.
AXI_REQ_0068,58,A3.2,Functional,The Subordinate is not required to take special action based on any alignment information from the Manager.
AXI_REQ_0069,61,A3.3,Functional,Must be 3 if:
AXI_REQ_0070,61,A3.3,Response/Error,"If BCOMP is present, it must be asserted for one response transfer of every transaction on the write channels."
AXI_REQ_0071,62,A3.3,Response/Error,every read data transfer in a transaction. The response value is not required to be the same for every read data
AXI_REQ_0072,62,A3.3,Handshake/Timing,"some responses, the data in that transfer is not required to be valid."
AXI_REQ_0073,62,A3.3,Handshake/Timing,Must be valid when RVALID is asserted.
AXI_REQ_0074,63,A3.3,Transaction,Must be 3 if Prefetch_Transaction = True OR
AXI_REQ_0075,63,A3.3,Handshake/Timing,"For responses where data is not required to be valid, the Manager might still sample the RDATA value so the"
AXI_REQ_0076,63,A3.3,Response/Error,Subordinate should not rely on the response to hide sensitive data.
AXI_REQ_0077,65,A3.3,Handshake/Timing,"For transactions with multiple read data transfers, Busy must be valid but can take a different value for every"
AXI_REQ_0078,65,A3.3,Handshake/Timing,"For transactions with multiple write responses, Busy must be valid in the response with BCOMP asserted. For"
AXI_REQ_0079,65,A3.3,Response/Error,"For Atomic transactions with write and read responses, BBUSY and RBUSY are expected, but not required to"
AXI_REQ_0080,66,A3.3,Functional,This chapter describes request attributes that indicate how the request should be handled by downstream
AXI_REQ_0081,67,A4.1,Transaction,A Memory Subordinate is required to handle all transaction types correctly.
AXI_REQ_0082,67,A4.1,Functional,"must complete, in compliance with the protocol. However, when such an access has been made, there is no"
AXI_REQ_0083,67,A4.1,Functional,requirement that the Peripheral Subordinate continues to operate correctly. The Subordinate is only required to
AXI_REQ_0084,68,A4.1,Functional,This section describes the attributes that determine how a request should be treated by system components such as
AXI_REQ_0085,69,A4.1,Functional,"• If the Bufferable bit is deasserted, the read data must be obtained from the final destination."
AXI_REQ_0086,69,A4.1,Transaction,A Non-modifiable transaction must not be split into multiple transactions or merged with other transactions.
AXI_REQ_0087,69,A4.1,Transaction,"In a Non-modifiable transaction, the parameters that are shown in Table A4.3 must not be changed."
AXI_REQ_0088,69,A4.1,Transaction,"transaction must meet the requirements that are given in this subsection, except that:"
AXI_REQ_0089,69,A4.1,Transaction,"example, when downsizing to a data width narrower than required by Size, the transaction must be modified."
AXI_REQ_0090,70,A4.1,Functional,The following must not be changed:
AXI_REQ_0091,70,A4.1,Cache/Stash,"AxCACHE can be modified, but any modification must ensure that the visibility of transactions by other"
AXI_REQ_0092,70,A4.1,Cache/Stash,the need to look up a transaction in a cache. Any modification to the memory attributes must be consistent for all
AXI_REQ_0093,70,A4.1,Cache/Stash,"• The data might have been previously allocated, so the line must be looked up in a cache."
AXI_REQ_0094,70,A4.1,Cache/Stash,"• The data might have been previously allocated, so the line must be looked up in a cache."
AXI_REQ_0095,70,A4.1,Cache/Stash,"If Allocate and Other Allocate are both deasserted, the request is not required to look up in any cache."
AXI_REQ_0096,71,A4.3,Response/Error,• The write response must be obtained from the final destination.
AXI_REQ_0097,71,A4.3,Functional,• Read data must be obtained from the final destination.
AXI_REQ_0098,71,A4.3,Functional,• Read data must not be prefetched.
AXI_REQ_0099,71,A4.3,Transaction,• Write transactions must not be merged.
AXI_REQ_0100,71,A4.3,Transaction,• Write transactions must be made visible at the final destination in a timely manner.
AXI_REQ_0101,71,A4.3,Functional,• Read data must be obtained from the final destination.
AXI_REQ_0102,71,A4.3,Functional,• Read data must not be prefetched.
AXI_REQ_0103,71,A4.3,Transaction,• Write transactions must not be merged.
AXI_REQ_0104,72,A4.3,Response/Error,• The write response must be obtained from the final destination.
AXI_REQ_0105,72,A4.3,Functional,• Read data must be obtained from the final destination.
AXI_REQ_0106,72,A4.3,Transaction,"• Write transactions must be made visible at the final destination in a timely manner, as defined in the glossary."
AXI_REQ_0107,72,A4.3,Functional,• Read data must be obtained from either:
AXI_REQ_0108,72,A4.3,Functional,– It must be obtained from the most recent version of the write.
AXI_REQ_0109,72,A4.3,Cache/Stash,– The data must not be cached to service a later read.
AXI_REQ_0110,72,A4.3,Transaction,"• Write transactions must be made visible at the final destination in a timely manner, as defined in the glossary."
AXI_REQ_0111,73,A4.3,Transaction,• Write transactions are not required to be made visible at the final destination.
AXI_REQ_0112,74,A4.3,Functional,"functional correctness, the following rules must be obeyed:"
AXI_REQ_0113,74,A4.3,Cache/Stash,• All Managers accessing the same area of memory must have a consistent view of the cacheability of that area
AXI_REQ_0114,74,A4.3,Cache/Stash,"– If the address region is Non-cacheable, all Managers must use transactions with both AxCACHE[3:2]"
AXI_REQ_0115,74,A4.3,Cache/Stash,"– If the address region is Cacheable, all Managers must use transactions with either of AxCACHE[3:2]"
AXI_REQ_0116,74,A4.3,Functional,"• For Device Bufferable memory, read data must be obtained from the final destination."
AXI_REQ_0117,74,A4.3,Cache/Stash,"• For Normal Non-cacheable Bufferable memory, read data must be obtained either from the final destination"
AXI_REQ_0118,75,A4.3,Functional,intermediate buffers must behave as follows:
AXI_REQ_0119,75,A4.3,Transaction,"• An intermediate buffer that can respond to a transaction must ensure that over time, any read transaction to"
AXI_REQ_0120,75,A4.3,Transaction,"forwarding a read transaction, the attempted forwarding must not continue indefinitely, and any data that is"
AXI_REQ_0121,75,A4.3,Functional,used for forwarding must not persist indefinitely. The protocol does not define a mechanism to determine the
AXI_REQ_0122,75,A4.3,Reset,"mechanism, the act of reading the data must not reset the data timeout period."
AXI_REQ_0123,75,A4.3,Transaction,• An intermediate buffer that can hold and merge write transactions must ensure that transactions do not
AXI_REQ_0124,75,A4.3,Reset,"remain in its buffer indefinitely. For example, merging write transactions must not reset the mechanism that"
AXI_REQ_0125,75,A4.3,Transaction,A write transaction that is marked as Device Bufferable is required to reach its final destination in a timely manner.
AXI_REQ_0126,76,A4.4,Response/Error,A software protocol error for an access in one 4KB memory region must not cause data corruption in a different
AXI_REQ_0127,77,A4.5,Functional,"attributes. An interface must not include both sets of signals, the following rules apply:"
AXI_REQ_0128,77,A4.5,Functional,"• If PROT_Present is True, PAS_WIDTH must be 0."
AXI_REQ_0129,77,A4.5,Functional,"• If PROT_Present is True, INSTPRIV_Present must be False."
AXI_REQ_0130,79,A4.5,Functional,Table A4.7 shows the physical address spaces with signal encodings and property that must be True to enable a
AXI_REQ_0131,80,A4.5,Functional,"• When RME_Support is False, GDI_Support must be False."
AXI_REQ_0132,80,A4.5,Functional,"• When GDI_Support is True, PAS_WIDTH must be 3."
AXI_REQ_0133,80,A4.5,Transaction,"• When GDI_Support is True, Untranslated_Transactions must be False or v4."
AXI_REQ_0134,81,A4.6,Functional,"MEC is an extension of RME, so if the RME_Support property is False, MEC_Support must be False."
AXI_REQ_0135,81,A4.6,Functional,The following signals are required to support MEC.
AXI_REQ_0136,82,A4.6,Functional,"• If MEC_Support is False, MECID_WIDTH must be 0."
AXI_REQ_0137,82,A4.6,Functional,"• If MEC_Support is True, MECID_WIDTH must not be 0."
AXI_REQ_0138,82,A4.6,Functional,Must be zero
AXI_REQ_0139,82,A4.6,Functional,Must be zero
AXI_REQ_0140,82,A4.6,Functional,Must be zero
AXI_REQ_0141,83,A4.6,Functional,MECID is inapplicable and must be 0 for the following request Opcodes:
AXI_REQ_0142,83,A4.6,Transaction,Components that propagate transactions and support MECID on their Subordinate and Manager interfaces must
AXI_REQ_0143,83,A4.6,Cache/Stash,A cache that stores data which has an associated MECID must also store the MECID and provide it with the data
AXI_REQ_0144,83,A4.6,Handshake/Timing,"When using MEC and GDI, MECID must be valid for all accesses to Non-secure Protected or System Agent"
AXI_REQ_0145,83,A4.6,Cache/Stash,A cache must enforce the following rules for the System Agent and Non-secure Protected physical address spaces
AXI_REQ_0146,83,A4.6,Functional,"– Any returned data must be masked to an IMPLEMENTATION SPECIFIC value. Arm recommends, but"
AXI_REQ_0147,83,A4.6,Cache/Stash,"– Cached data must be masked to an IMPLEMENTATION SPECIFIC value. Arm recommends, but does not"
AXI_REQ_0148,83,A4.6,Cache/Stash,– The cached MECID for the location must be updated to the MECID of the incoming write.
AXI_REQ_0149,83,A4.6,Cache/Stash,– The cached MECID must be updated to the MECID of the incoming write.
AXI_REQ_0150,84,A4.7,Functional,provide a decode of higher-order address bits. The region identifier must remain constant within any 4K-byte
AXI_REQ_0151,84,A4.7,Response/Error,"interface in the system address map, the interconnect must use the default AxREGION values."
AXI_REQ_0152,84,A4.7,Ordering,A Subordinate must ensure that the correct protocol signaling and the correct ordering of transactions are
AXI_REQ_0153,84,A4.7,Response/Error,maintained. A Subordinate must ensure that it provides the responses to two requests to different regions with the
AXI_REQ_0154,84,A4.7,Functional,A Subordinate must also ensure the correct protocol signaling for any values of AxREGION. If a Subordinate
AXI_REQ_0155,84,A4.7,Functional,"implements fewer than sixteen regions, then the Subordinate must ensure the correct protocol signaling on any"
AXI_REQ_0156,85,A4.7,Functional,address spaces. AxREGION must only be present on an interface that is downstream of an address decode
AXI_REQ_0157,86,A4.8,Functional,This specification expects that many interconnect component implementations will support programmable
AXI_REQ_0158,87,A4.8,Functional,indicate the minimum QoS value it will accept without delay.
AXI_REQ_0159,87,A4.8,Functional,This specification does not define a time period during which the Subordinate is required to accept a
AXI_REQ_0160,87,A4.8,Transaction,"will be a deterministic maximum number of clock cycles taken to accept a transaction, after taking into"
AXI_REQ_0161,90,A5.1,Transaction,transactions that must be returned in order.
AXI_REQ_0162,90,A5.1,Ordering,"All transactions with a given AXI ID value must remain ordered, but there is no restriction on the ordering of"
AXI_REQ_0163,90,A5.1,Functional,can omit the ID signals from its interface. An attached Subordinate must have its AxID inputs tied LOW.
AXI_REQ_0164,91,A5.2,Transaction,"• When AWIDUNQ is asserted, there must be no outstanding write transactions from this Manager with the"
AXI_REQ_0165,91,A5.2,Transaction,• A Manager must not issue a write request with the same AWID as an outstanding write transaction that had
AXI_REQ_0166,91,A5.2,Functional,"• If AWIDUNQ is deasserted for a request, the corresponding BIDUNQ signal must be deasserted in a single"
AXI_REQ_0167,91,A5.2,Functional,"• If AWIDUNQ is asserted for a request, the corresponding BIDUNQ signal must be asserted in a single"
AXI_REQ_0168,91,A5.2,Transaction,"• When ARIDUNQ is asserted, there must be no outstanding read transactions from this Manager with the"
AXI_REQ_0169,91,A5.2,Transaction,• A Manager must not issue a read request with the same ARID as an outstanding read transaction that had
AXI_REQ_0170,91,A5.2,Functional,"• If ARIDUNQ is deasserted for a request, the corresponding RIDUNQ signal must be deasserted for all"
AXI_REQ_0171,91,A5.2,Response/Error,"• If ARIDUNQ is asserted for a request, the corresponding RIDUNQ signal must be asserted for all response"
AXI_REQ_0172,92,A5.2,Atomic/Exclusive,"– If AWIDUNQ is deasserted for an Atomic request, the corresponding RIDUNQ signal must be"
AXI_REQ_0173,92,A5.2,Atomic/Exclusive,"– If AWIDUNQ is asserted for an Atomic request, the corresponding RIDUNQ signal must be asserted"
AXI_REQ_0174,92,A5.2,Transaction,"Some transaction types specify that AxIDUNQ is required to be asserted, if present. If not specified, asserting"
AXI_REQ_0175,93,A5.3,Ordering,"If a Manager requires ordering between transactions that have no ordering guarantee, the Manager must wait to"
AXI_REQ_0176,93,A5.3,Functional,• The size of a Peripheral region is IMPLEMENTATION DEFINED but it must be contained within a single
AXI_REQ_0177,93,A5.3,Transaction,• A transaction to a Peripheral region must be entirely contained within that region.
AXI_REQ_0178,94,A5.3,Functional,"A Normal access to a Peripheral region must complete in a protocol compliant manner, but the result is"
AXI_REQ_0179,95,A5.3,Ordering,"To meet the Manager ordering guarantees, Subordinate interfaces must meet the following requirements."
AXI_REQ_0180,95,A5.3,Ordering,"• A write W1 must be ordered before a write W2 with the same ID, where W2 is received after W1 is received."
AXI_REQ_0181,95,A5.3,Response/Error,"• A write W1 must be ordered before a write W2, where W2 is received after the completion response for W1"
AXI_REQ_0182,95,A5.3,Response/Error,"• A write W1 must be ordered before a read R2, where R2 is received after the completion response for W1 is"
AXI_REQ_0183,95,A5.3,Response/Error,"• A read R1 must be ordered before a write W2, where W2 is received after the completion response for R1 is"
AXI_REQ_0184,96,A5.3,Response/Error,"• The response to read R1 must be returned before the response to a read R2, where R2 is received after R1"
AXI_REQ_0185,96,A5.3,Response/Error,"• The response to write W1 must be returned before the response to a write W2, where W2 is received after"
AXI_REQ_0186,96,A5.3,Response/Error,"When the interconnect issues requests or responses, it must adhere to the following requirements:"
AXI_REQ_0187,96,A5.3,Ordering,"• A read R1 request must be issued before a read R2 request, where R2 is received after R1, with the same ID"
AXI_REQ_0188,96,A5.3,Functional,"• A write W1 request must be issued before a write W2 request, where W2 is received after W1, with the same"
AXI_REQ_0189,96,A5.3,Functional,"• A Device read DR1 request must be issued before a Device read DR2 request, where DR2 is received after"
AXI_REQ_0190,96,A5.3,Functional,"• A Device write DW1 request must be issued before a Device write DW2 request, where DW2 is received"
AXI_REQ_0191,96,A5.3,Response/Error,"• A read R1 response must be issued before a read R2 response, where R2 is received after R1, with the same"
AXI_REQ_0192,96,A5.3,Response/Error,"• A write W1 response must be issued before a write W2 response, where W2 is received after W1, with the"
AXI_REQ_0193,96,A5.3,Functional,"When the interconnect is acting as a Subordinate component, it must also adhere to the Subordinate requirements."
AXI_REQ_0194,96,A5.3,Ordering,Any manipulation of the AXI ID values that are associated with a transaction must ensure that the ordering
AXI_REQ_0195,96,A5.3,Ordering,must ensure that visibility and ordering guarantees are met.
AXI_REQ_0196,96,A5.3,Functional,required to propagate beyond the intermediate component.
AXI_REQ_0197,96,A5.3,Response/Error,"An intermediate component must observe ID ordering rules, which means a read response can only be sent if all"
AXI_REQ_0198,96,A5.3,Response/Error,"response, the intermediate component can store a local copy of the data, but must propagate the transaction"
AXI_REQ_0199,96,A5.3,Response/Error,"An intermediate component must observe ID ordering rules, which means a write response can only be sent if all"
AXI_REQ_0200,97,A5.3,Response/Error,"After sending an early write response, the component must be responsible for ordering and observability of that"
AXI_REQ_0201,97,A5.3,Response/Error,"between sending the early write response and receiving a response from downstream, the component must ensure"
AXI_REQ_0202,97,A5.3,Response/Error,"Responses must be in order for transactions with the same AXI ID, irrespective of cacheability."
AXI_REQ_0203,97,A5.3,Functional,the same location must be observed in issue order.
AXI_REQ_0204,100,A5.5,Transaction,A Manager must issue write data in the same order that it issues the transaction requests.
AXI_REQ_0205,100,A5.5,Response/Error,A Subordinate must ensure that the BID value of a write response matches the AWID value of the request to which
AXI_REQ_0206,100,A5.5,Response/Error,An interconnect must ensure that write responses from a sequence of transactions with the same AWID value
AXI_REQ_0207,101,A5.6,Functional,The Subordinate must ensure that the RID value of any returned data matches the ARID value of the request to
AXI_REQ_0208,101,A5.6,Transaction,The interconnect must ensure that read data from a sequence of transactions with the same ARID value targeting
AXI_REQ_0209,101,A5.6,Transaction,design-time whether the attached Subordinate interface will interleave read data from different transactions.
AXI_REQ_0210,101,A5.6,Transaction,Managers that issue transactions with different IDs must be designed to accept interleaved data. Managers might
AXI_REQ_0211,102,A5.6,Handshake/Timing,RCHUNKSTRB are valid. It must be the same for
AXI_REQ_0212,103,A5.6,Functional,Must be 0 if Read_Data_Chunking == False else
AXI_REQ_0213,103,A5.6,Functional,Must be 0 if Read_Data_Chunking == False else
AXI_REQ_0214,103,A5.6,Functional,"signals, so RCHUNKNUM and RCHUNKSTRB must be the same width for connected components."
AXI_REQ_0215,103,A5.6,Transaction,• ARCHUNKEN must only be asserted for transactions with the following attributes:
AXI_REQ_0216,103,A5.6,Functional,"• The ID value must be unique-in-flight, which means:"
AXI_REQ_0217,103,A5.6,Functional,– The Manager must not issue a request on the read channel with the same ARID as an outstanding
AXI_REQ_0218,103,A5.6,Functional,"– If present on the interface, ARIDUNQ must be asserted if ARCHUNKEN is asserted."
AXI_REQ_0219,103,A5.6,Response/Error,"• If ARCHUNKEN is deasserted, RCHUNKV must be deasserted for all response transfers of the transaction."
AXI_REQ_0220,104,A5.6,Response/Error,• RCHUNKV must be the same for every response transfer of a transaction.
AXI_REQ_0221,104,A5.6,Handshake/Timing,"• When RVALID and RCHUNKV are asserted, RCHUNKNUM must be between zero and ARLEN."
AXI_REQ_0222,104,A5.6,Handshake/Timing,"• When RVALID and RCHUNKV are asserted, RCHUNKSTRB must not be zero."
AXI_REQ_0223,104,A5.6,Handshake/Timing,"• When RVALID and RCHUNKV are asserted, RLAST must only be asserted for the final response transfer"
AXI_REQ_0224,104,A5.6,Transaction,"The number of data chunks transferred must be consistent with ARLEN and ARSIZE, so the number of bytes"
AXI_REQ_0225,104,A5.6,Transaction,"For unaligned transactions, chunks at addresses lower than ARADDR are not transferred and must have"
AXI_REQ_0226,108,A6.1,Atomic/Exclusive,Atomicity does not define the exact instant when the data is updated. What must be ensured is that no Manager can
AXI_REQ_0227,108,A6.1,Atomic/Exclusive,in a given communication must support the required size of atomic element. If two Managers are communicating
AXI_REQ_0228,108,A6.1,Transaction,"through an interconnect and a single Subordinate, then all the components involved must ensure that transactions"
AXI_REQ_0229,109,A6.2,Handshake/Timing,ordered. This must ensure that all coherent cached copies of a location are invalidated before the new value
AXI_REQ_0230,110,A6.3,Atomic/Exclusive,"Exclusive accesses will continually fail,"
AXI_REQ_0231,110,A6.3,Functional,but the interface will not deadlock.
AXI_REQ_0232,111,A6.3,Atomic/Exclusive,A Manager must not start the write part of an exclusive access sequence until the read part is complete.
AXI_REQ_0233,111,A6.3,Atomic/Exclusive,"• The address of an exclusive access must be aligned to the total number of bytes in the transaction, that is, the"
AXI_REQ_0234,111,A6.3,Atomic/Exclusive,"• The number of bytes to be transferred in an exclusive access transaction must be a power-of-2, that is, 1, 2, 4,"
AXI_REQ_0235,111,A6.3,Atomic/Exclusive,• The Length of an exclusive access must not exceed 16 transfers.
AXI_REQ_0236,111,A6.3,Functional,"• The Domain must not be Shareable, see A8.3.3 Shareable Domain."
AXI_REQ_0237,111,A6.3,Atomic/Exclusive,• The Opcode must be ReadExclusive or WriteExclusive. See Chapter A7 Request Opcodes.
AXI_REQ_0238,111,A6.3,Functional,"• AWTAGOP must not be Match, see A12.2 Memory Tagging Extension (MTE)."
AXI_REQ_0239,111,A6.3,Atomic/Exclusive,"For an exclusive sequence to be successful, the AxCACHE values must be appropriate to ensure that the read and"
AXI_REQ_0240,112,A6.3,Atomic/Exclusive,Table A6.5: Signals that should be the same in an exclusive sequence
AXI_REQ_0241,112,A6.3,Atomic/Exclusive,A Subordinate that supports exclusive access must have monitor hardware. It is recommended that such a
AXI_REQ_0242,112,A6.3,Atomic/Exclusive,"If the monitor deems the sequence to have failed, the exclusive write must not update the addressed location, and"
AXI_REQ_0243,112,A6.3,Response/Error,the Subordinate must return the OKAY response instead of the EXOKAY response.
AXI_REQ_0244,113,A6.4,Functional,significant distance from the agent that must perform the operation.
AXI_REQ_0245,113,A6.4,Atomic/Exclusive,"Compared with using exclusive accesses, this approach reduces the amount of time during which the data must be"
AXI_REQ_0246,114,A6.4,Functional,the number of bytes must include both the compare and swap values.
AXI_REQ_0247,114,A6.4,Transaction,"• If AWLEN indicates a transaction length greater than one, AWSIZE is required to be the full data channel"
AXI_REQ_0248,114,A6.4,Functional,"• Write strobes that are not within the data window, as specified by AWADDR and AWSIZE, must be"
AXI_REQ_0249,114,A6.4,Functional,• Write strobes within the data window must be asserted.
AXI_REQ_0250,115,A6.4,Functional,• AWADDR must be aligned to the total write data size.
AXI_REQ_0251,115,A6.4,Transaction,• AWBURST must be INCR.
AXI_REQ_0252,115,A6.4,Functional,• AWADDR must be aligned to half the total write data size.
AXI_REQ_0253,115,A6.4,Transaction,– AWBURST must be INCR.
AXI_REQ_0254,115,A6.4,Transaction,– AWBURST must be WRAP.
AXI_REQ_0255,115,A6.4,Transaction,– AWADDR is not required to be aligned to the transfer size.
AXI_REQ_0256,116,A6.4,Functional,the read data. This requirement means that the Manager must only use ID values that can be signaled on both
AXI_REQ_0257,116,A6.4,Atomic/Exclusive,"The ID must be unique-in-flight for Atomic transactions, which means:"
AXI_REQ_0258,116,A6.4,Ordering,• A Manager must not issue a request on the write channel with the same ID value as an outstanding
AXI_REQ_0259,116,A6.4,Ordering,• A Manager must not issue a request on the read or write channels with the same ID value as an outstanding
AXI_REQ_0260,116,A6.4,Functional,RIDUNQ must be asserted if AWIDUNQ was asserted. See A5.2 Unique ID indicator for more details.
AXI_REQ_0261,117,A6.4,Functional,"• AWSNOOP must be set to all zeros. If AWSNOOP has any other value, AWATOP must be all zeros."
AXI_REQ_0262,117,A6.4,Atomic/Exclusive,"• AWLOCK must be deasserted, not exclusive access."
AXI_REQ_0263,118,A6.4,Functional,• A Subordinate is permitted to wait for all write data before sending read data. A Manager must be able to
AXI_REQ_0264,118,A6.4,Functional,• A Subordinate is permitted to send all read data before accepting any write data. A Manager must be able to
AXI_REQ_0265,118,A6.4,Response/Error,• A single write response is returned on the B channel. The write response must be given by the Subordinate
